id,name,thumbnail,menu,ctg1,ctg2,diet,cheap,latitude,longitude,kakao_link
75,마마스포,./pictures/p75.jpg,"[{""name"": ""뿌님팟퐁커리"", ""price"": ""20000""}, {""name"": ""팟타이 꿍"", ""price"": ""12500""}, {""name"": ""똠양쌀국수"", ""price"": ""12500""}, {""name"": ""칠리크랩"", ""price"": ""20000""}, {""name"": ""치킨매실탕수육"", ""price"": ""17000""}]","[""아시아 음식""]","[""태국 음식""]",False,False,37.40133478046625,127.10869909548097,https://map.kakao.com/?q=%EB%A7%88%EB%A7%88%EC%8A%A4%ED%8F%AC%20%ED%8C%90%EA%B5%90
76,진부엉이꼬마김밥,./pictures/p76.jpg,"[{""name"": ""찐꼬마김밥 6줄"", ""price"": ""4500""}, {""name"": ""매콤어묵꼬마김밥 6줄"", ""price"": ""5000""}, {""name"": ""스페셜 1 6줄"", ""price"": ""6500""}, {""name"": ""스페셜 2 6줄"", ""price"": ""9700""}]","[""분식""]","[""김밥""]",False,True,37.16671634551926,127.10635692513648,https://map.kakao.com/?q=%EC%A7%84%EB%B6%80%EC%97%89%EC%9D%B4%EA%BC%AC%EB%A7%88%EA%B9%80%EB%B0%A5%20%ED%8C%90%EA%B5%90
77,청년다방 판교테크노밸리점,./pictures/p77.jpg,"[{""name"": ""틈새매운어묵떡볶이"", ""price"": ""16500""}, {""name"": ""불향차돌떡볶이"", ""price"": ""17500""}, {""name"": ""통큰오짱떡볶이"", ""price"": ""19000""}, {""name"": ""마라로제떡볶이"", ""price"": ""19000""}, {""name"": ""떡튀순떡볶이"", ""price"": ""17500""}]","[""분식""]","[""떡볶이"", ""핫도그""]",False,False,37.40020826336125,127.10698756524752,https://map.kakao.com/?q=%EC%B2%AD%EB%85%84%EB%8B%A4%EB%B0%A9%20%ED%8C%90%EA%B5%90%ED%85%8C%ED%81%AC%EB%85%B8%EB%B0%B8%EB%A6%AC%EC%A0%90
78,기름짜는김밥집,./pictures/p78.jpg,"[{""name"": ""오뎅"", ""price"": ""3500""}, {""name"": ""김치볶음밥"", ""price"": ""5500""}, {""name"": ""참치덮밥"", ""price"": ""6000""}, {""name"": ""고구마돈까스"", ""price"": ""7500""}, {""name"": ""들기름김밥"", ""price"": ""3000""}]","[""분식""]","[""김밥""]",False,True,37.40145513428307,127.1091148933445,https://map.kakao.com/?q=%EA%B8%B0%EB%A6%84%EC%A7%9C%EB%8A%94%EA%B9%80%EB%B0%A5%EC%A7%91%20%ED%8C%90%EA%B5%90
79,헬키푸키 판교점,./pictures/p79.jpg,"[{""name"": ""키토김밥"", ""price"": ""6800""}, {""name"": ""크래미 키토김밥"", ""price"": ""7800""}, {""name"": ""치즈 키토김밥"", ""price"": ""7800""}, {""name"": ""참치 키토김밥"", ""price"": ""7800""}, {""name"": ""베이컨 키토김밥"", ""price"": ""7800""}]","[""분식""]","[""김밥"", ""떡볶이"", ""핫도그""]",False,True,37.4013347804748,127.108699095482,https://map.kakao.com/?q=%ED%97%AC%ED%82%A4%ED%91%B8%ED%82%A4%20%ED%8C%90%EA%B5%90%EC%A0%90
80,상아김밥 판교점,./pictures/p80.jpg,"[{""name"": ""상아김밥"", ""price"": ""4500""}, {""name"": ""참치와사비키토"", ""price"": ""7500""}, {""name"": ""상아떡볶이"", ""price"": ""6500""}, {""name"": ""특제참치주먹밥"", ""price"": ""7000""}, {""name"": ""야채김밥"", ""price"": ""4500""}]","[""분식""]","[""김밥"", ""떡볶이""]",False,True,37.4021115556431,127.110540047469,https://map.kakao.com/?q=%EC%83%81%EC%95%84%EA%B9%80%EB%B0%A5%20%ED%8C%90%EA%B5%90%EC%A0%90
81,디엣테이블,./pictures/p81.jpg,"[{""name"": ""hot 숯불시카고 소스"", ""price"": ""500""}, {""name"": ""땅콩소스"", ""price"": ""500""}, {""name"": ""타르타르 소스"", ""price"": ""500""}, {""name"": ""청양마요 소스"", ""price"": ""500""}, {""name"": ""펩시제로 500ml"", ""price"": ""2000""}]","[""분식""]","[""김밥"", ""떡볶이"", ""핫도그""]",False,False,,,https://map.kakao.com/?q=%EB%94%94%EC%97%A3%ED%85%8C%EC%9D%B4%EB%B8%94%20%ED%8C%90%EA%B5%90
82,소풍,./pictures/p82.jpg,"[{""name"": ""김밥"", ""price"": ""3000""}, {""name"": ""떡볶이"", ""price"": ""3500""}, {""name"": ""순대"", ""price"": ""3500""}, {""name"": ""튀김범벅"", ""price"": ""3500""}, {""name"": ""어묵1인분(3개)"", ""price"": ""2000""}]","[""분식""]","[""김밥"", ""떡볶이"", ""핫도그""]",False,True,37.5571282222386,127.328285474623,https://map.kakao.com/?q=%EC%86%8C%ED%92%8D%20%ED%8C%90%EA%B5%90
83,애비로드샌드위치 판교점,./pictures/p83.jpg,"[{""name"": ""야채듬뿍김밥"", ""price"": ""5500""}, {""name"": ""햄치즈에그샌드위치"", ""price"": ""7600""}, {""name"": ""HOT 아메리카노"", ""price"": ""3300""}, {""name"": ""ICE 아메리카노"", ""price"": ""3800""}, {""name"": ""애비로드 세트 A"", ""price"": ""14500""}]","[""분식""]","[""김밥"", ""떡볶이"", ""핫도그""]",False,True,,,https://map.kakao.com/?q=%EC%95%A0%EB%B9%84%EB%A1%9C%EB%93%9C%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98%20%ED%8C%90%EA%B5%90%EC%A0%90
84,빨간 짱돌 떡볶이,,[],"[""분식""]","[""떡볶이""]",False,False,,,https://map.kakao.com/?q=%EB%B9%A8%EA%B0%84%20%EC%A7%B1%EB%8F%8C%20%EB%96%A1%EB%B3%B6%EC%9D%B4%20%ED%8C%90%EA%B5%90
